id,generic_name,brand_name,category,description,requires_prescription,price,created_at
32,Quinine,Quinine Sulfate,,Antimalarials - Quinine Sulfate,TRUE,,2026-01-01 00:00:00
33,Artesunate,Artesun,,Antimalarials - Artesunate,TRUE,,2026-01-01 00:00:00
34,Paracetamol,Panadol,,Analgesics (Non-opioid) - Paracetamol (Acetaminophen),FALSE,,2026-01-01 00:00:00
35,Ibuprofen,Brufen,,NSAIDs - Ibuprofen,FALSE,,2026-01-01 00:00:00
36,Diclofenac,Voltaren,,NSAIDs - Diclofenac Sodium,TRUE,,2026-01-01 00:00:00
37,Tramadol,Ultram,,Opioid Analgesics - Tramadol Hydrochloride,TRUE,,2026-01-01 00:00:00
38,Morphine,MS Contin,,Opioid Analgesics - Morphine Sulfate,TRUE,,2026-01-01 00:00:00
39,Omeprazole,Prilosec,,Proton Pump Inhibitors - Omeprazole,FALSE,,2026-01-01 00:00:00
40,Ranitidine,Zantac,,H2 Receptor Antagonists - Ranitidine Hydrochloride,FALSE,,2026-01-01 00:00:00
41,Aluminum Hydroxide,Maalox,,Antacids - Aluminum Hydroxide + Magnesium Hydroxide,FALSE,,2026-01-01 00:00:00
42,Calcium Carbonate,Tums,,Phosphate Binders - Calcium Carbonate,FALSE,,2026-01-01 00:00:00
43,Sevelamer,Renagel,,Phosphate Binders - Sevelamer Carbonate,TRUE,,2026-01-01 00:00:00
44,Erythropoietin,Eprex,,Erythropoiesis-Stimulating Agents - Epoetin Alfa,TRUE,,2026-01-01 00:00:00
45,Calcitriol,Rocaltrol,,Active Vitamin D - Calcitriol,TRUE,,2026-01-01 00:00:00
46,Ferrous Sulfate,Ferodan,,Iron Supplements - Ferrous Sulfate,FALSE,,2026-01-01 00:00:00
47,Folic Acid,Folate,,Vitamins - Folic Acid,FALSE,,2026-01-01 00:00:00
48,Vitamin B Complex,B-Complex,,Vitamins - Multivitamin B,FALSE,,2026-01-01 00:00:00
49,Vitamin D3,Cholecalciferol,,Vitamins - Cholecalciferol,FALSE,,2026-01-01 00:00:00
50,Multivitamin,Centrum,,Vitamins - Multivitamin + Minerals,FALSE,,2026-01-01 00:00:00
51,Salbutamol,Ventolin,,Beta-2 Agonists - Salbutamol Sulfate,TRUE,,2026-01-01 00:00:00
52,Beclomethasone,Becotide,,Inhaled Corticosteroids - Beclomethasone Dipropionate,TRUE,,2026-01-01 00:00:00
53,Prednisolone,Deltacortril,,Corticosteroids - Prednisolone,TRUE,,2026-01-01 00:00:00
54,Hydrocortisone,Cortef,,Corticosteroids - Hydrocortisone,TRUE,,2026-01-01 00:00:00
55,Levothyroxine,Synthroid,,Thyroid Hormones - Levothyroxine Sodium,TRUE,,2026-01-01 00:00:00
56,Carbimazole,Neo-Mercazole,,Antithyroid Agents - Carbimazole,TRUE,,2026-01-01 00:00:00
57,Tenofovir-Lamivudine-Efavirenz,TLE,,Antiretrovirals (HAART) - Tenofovir + Lamivudine + Efavirenz,TRUE,,2026-01-01 00:00:00
58,Tenofovir-Lamivudine-Dolutegravir,TLD,,Antiretrovirals (HAART) - Tenofovir + Lamivudine + Dolutegravir,TRUE,,2026-01-01 00:00:00
59,Zidovudine-Lamivudine,Combivir,,Antiretrovirals (NRTIs) - Zidovudine + Lamivudine,TRUE,,2026-01-01 00:00:00
60,Nevirapine,Viramune,,Antiretrovirals (NNRTIs) - Nevirapine,TRUE,,2026-01-01 00:00:00
61,Cotrimoxazole,Septrin,,Sulfonamides + Antifolates - Sulfamethoxazole + Trimethoprim,TRUE,,2026-01-01 00:00:00
62,Fluconazole,Diflucan,,Antifungals - Fluconazole,TRUE,,2026-01-01 00:00:00
63,Nystatin,Mycostatin,,Antifungals - Nystatin,FALSE,,2026-01-01 00:00:00
64,Mebendazole,Vermox,,Anthelmintics - Mebendazole,FALSE,,2026-01-01 00:00:00
65,Albendazole,Zentel,,Anthelmintics - Albendazole,FALSE,,2026-01-01 00:00:00
66,Praziquantel,Biltricide,,Anthelmintics - Praziquantel,TRUE,,2026-01-01 00:00:00
67,Chloroquine,Aralen,,Antimalarials - Chloroquine Phosphate,FALSE,,2026-01-01 00:00:00
68,Chlorpheniramine,Piriton,,Antihistamines (1st generation) - Chlorpheniramine Maleate,FALSE,,2026-01-01 00:00:00
69,Cetirizine,Zyrtec,,Antihistamines (2nd generation) - Cetirizine Hydrochloride,FALSE,,2026-01-01 00:00:00
70,Loratadine,Claritin,,Antihistamines (2nd generation) - Loratadine,FALSE,,2026-01-01 00:00:00
71,Metoclopramide,Maxolon,,Antiemetics - Metoclopramide Hydrochloride,TRUE,,2026-01-01 00:00:00
72,Domperidone,Motilium,,Antiemetics - Domperidone,FALSE,,2026-01-01 00:00:00
73,Lactulose,Duphalac,,Laxatives (Osmotic) - Lactulose,FALSE,,2026-01-01 00:00:00
74,Bisacodyl,Dulcolax,,Laxatives (Stimulant) - Bisacodyl,FALSE,,2026-01-01 00:00:00
75,Loperamide,Imodium,,Antidiarrheals - Loperamide Hydrochloride,FALSE,,2026-01-01 00:00:00
76,ORS (Oral Rehydration Salts),ORS,,Rehydration - Sodium Chloride + Potassium + Glucose,FALSE,,2026-01-01 00:00:00
77,Diazepam,Valium,,Benzodiazepines - Diazepam,TRUE,,2026-01-01 00:00:00
78,Haloperidol,Haldol,,Antipsychotics (Typical) - Haloperidol,TRUE,,2026-01-01 00:00:00
79,Fluoxetine,Prozac,,SSRIs - Fluoxetine Hydrochloride,TRUE,,2026-01-01 00:00:00
80,Amitriptyline,Elavil,,Tricyclic Antidepressants - Amitriptyline Hydrochloride,TRUE,,2026-01-01 00:00:00
