id,category_name,parent_id,category_level,description,common_uses,typical_side_effects,created_at
29,Beta Blockers,2,2,Medications that block adrenaline effects on heart,Medications that block adrenaline effects on heart,,2026-01-01 00:00:00
30,Statins,3,2,Cholesterol-lowering medications,Cholesterol-lowering medications,,2026-01-01 00:00:00
31,Antiplatelet Agents,4,2,Medications that prevent platelet clumping,Medications that prevent platelet clumping,,2026-01-01 00:00:00
32,Anticoagulants,4,2,Medications that prevent blood clotting,Medications that prevent blood clotting,,2026-01-01 00:00:00
33,Penicillins,5,2,Beta-lactam antibiotics,Beta-lactam antibiotics,,2026-01-01 00:00:00
34,Fluoroquinolones,5,2,Broad-spectrum antibiotics,Broad-spectrum antibiotics,,2026-01-01 00:00:00
35,Nitroimidazoles,5,2,Antibiotics for anaerobic bacteria and protozoa,Antibiotics for anaerobic bacteria and protozoa,,2026-01-01 00:00:00
36,Cephalosporins,5,2,Beta-lactam antibiotics related to penicillins,Beta-lactam antibiotics related to penicillins,,2026-01-01 00:00:00
37,Macrolides,5,2,Protein synthesis inhibitor antibiotics,Protein synthesis inhibitor antibiotics,,2026-01-01 00:00:00
38,Tetracyclines,5,2,Broad-spectrum protein synthesis inhibitor antibiotics,Broad-spectrum protein synthesis inhibitor antibiotics,,2026-01-01 00:00:00
39,Sulfonamides,5,2,Antibiotics that inhibit folic acid synthesis,Antibiotics that inhibit folic acid synthesis,,2026-01-01 00:00:00
40,Non-opioid Analgesics,7,2,Pain medications without addiction potential,Pain medications without addiction potential,,2026-01-01 00:00:00
41,NSAIDs,7,2,Non-steroidal anti-inflammatory drugs,Non-steroidal anti-inflammatory drugs,,2026-01-01 00:00:00
42,Opioid Analgesics,7,2,Strong pain medications with addiction potential,Strong pain medications with addiction potential,,2026-01-01 00:00:00
43,Proton Pump Inhibitors,8,2,Medications that reduce stomach acid production,Medications that reduce stomach acid production,,2026-01-01 00:00:00
44,H2 Receptor Antagonists,8,2,Medications that reduce stomach acid,Medications that reduce stomach acid,,2026-01-01 00:00:00
45,Antacids,8,2,Medications that neutralize stomach acid,Medications that neutralize stomach acid,,2026-01-01 00:00:00
46,Phosphate Binders,9,2,Medications that reduce phosphate absorption in CKD,Medications that reduce phosphate absorption in CKD,,2026-01-01 00:00:00
47,Erythropoiesis-Stimulating Agents,9,2,Medications that stimulate red blood cell production,Medications that stimulate red blood cell production,,2026-01-01 00:00:00
48,Active Vitamin D,9,2,Vitamin D preparations for CKD patients,Vitamin D preparations for CKD patients,,2026-01-01 00:00:00
49,Iron Supplements,10,2,Iron preparations for anemia,Iron preparations for anemia,,2026-01-01 00:00:00
50,Vitamins,10,2,Vitamin preparations,Vitamin preparations,,2026-01-01 00:00:00
51,Beta-2 Agonists,11,2,Bronchodilators for asthma,Bronchodilators for asthma,,2026-01-01 00:00:00
52,Inhaled Corticosteroids,11,2,Anti-inflammatory medications for asthma,Anti-inflammatory medications for asthma,,2026-01-01 00:00:00
53,Corticosteroids,11,2,Anti-inflammatory steroid medications,Anti-inflammatory steroid medications,,2026-01-01 00:00:00
54,Thyroid Hormones,12,2,Medications for hypothyroidism,Medications for hypothyroidism,,2026-01-01 00:00:00
55,Antithyroid Agents,12,2,Medications for hyperthyroidism,Medications for hyperthyroidism,,2026-01-01 00:00:00
56,NRTIs,13,2,Nucleoside reverse transcriptase inhibitors,Nucleoside reverse transcriptase inhibitors,,2026-01-01 00:00:00
57,NNRTIs,13,2,Non-nucleoside reverse transcriptase inhibitors,Non-nucleoside reverse transcriptase inhibitors,,2026-01-01 00:00:00
58,Integrase Inhibitors,13,2,HIV medications that block viral integration,HIV medications that block viral integration,,2026-01-01 00:00:00
59,HAART Combinations,13,2,Fixed-dose combination antiretroviral therapy,Fixed-dose combination antiretroviral therapy,,2026-01-01 00:00:00
60,Benzodiazepines,20,2,Anxiety and sedative medications,Anxiety and sedative medications,,2026-01-01 00:00:00
61,Antipsychotics,20,2,Medications for psychosis and severe mental illness,Medications for psychosis and severe mental illness,,2026-01-01 00:00:00
62,SSRIs,21,2,Selective serotonin reuptake inhibitors,Selective serotonin reuptake inhibitors,,2026-01-01 00:00:00
63,Tricyclic Antidepressants,21,2,Older class of antidepressants,Older class of antidepressants,,2026-01-01 00:00:00
