food_id,nutrient_id,amount_per_100g
40,3,2.0
40,4,0.1
40,29,340
40,28,1
40,26,30
40,25,21
40,30,0.8
40,11,369
40,12,9.0
40,31,12
41,10,250
41,1,26.1
41,2,0
41,3,0
41,4,15.4
41,29,318
41,28,72
41,26,200
41,25,18
41,30,2.6
41,11,0
41,12,0
41,31,21
42,10,143
42,1,27.0
42,2,0
42,3,0
42,4,3.0
42,29,385
42,28,86
42,26,201
42,25,13
42,30,3.7
42,11,0
42,12,0
42,31,25
43,10,239
43,1,27.3
43,2,0
43,3,0
43,4,13.6
43,29,223
43,28,82
43,26,174
43,25,15
43,30,1.3
43,11,41
43,12,0
43,31,25
44,10,128
44,1,26.2
44,2,0
44,3,0
44,4,2.7
44,29,380
44,28,56
44,26,204
44,25,14
44,30,0.7
44,11,0
44,12,0
44,31,34
45,10,135
45,1,26.8
45,2,0
45,3,0
45,4,2.9
45,29,390
45,28,68
45,26,210
45,25,18
45,30,0.9
45,11,0
45,12,0
45,31,36
46,10,290
46,1,45.0
46,2,0
46,3,0
46,4,11.5
46,29,520
46,28,650
46,26,580
46,25,382
46,30,3.2
46,11,28
46,12,0
46,31,58
47,10,155
47,1,12.6
47,2,1.1
47,3,0
47,4,10.6
47,29,126
47,28,124
47,26,172
47,25,50
47,30,1.8
47,11,160
47,12,0
47,31,10
48,10,61
48,1,3.2
48,2,4.8
48,3,0
48,4,3.3
48,29,143
48,28,49
48,26,92
48,25,113
48,30,0
48,11,46
48,12,0
48,31,10
49,10,59
49,1,3.5
49,2,4.7
49,3,0
49,4,0.4
49,29,155
49,28,46
49,26,95
49,25,121
49,30,0.1
49,11,14
49,12,0.5
49,31,12
50,10,403
50,1,24.9
50,2,1.3
50,3,0
50,4,33.1
50,29,98
50,28,621
50,26,512
50,25,721
50,30,0.7
50,11,330
50,12,0
50,31,28
51,10,89
51,1,1.1
51,2,22.8
51,3,2.6
51,4,0.3
51,29,358
51,28,1
51,26,22
51,25,5
51,30,0.3
51,11,3
51,12,8.7
51,31,27
52,10,60
52,1,0.8
52,2,15.0
52,3,1.6
52,4,0.4
52,29,168
52,28,1
52,26,14
52,25,11
52,30,0.2
52,11,54
52,12,36.4
52,31,10
53,10,43
53,1,0.5
53,2,10.8
53,3,1.7
53,4,0.3
53,29,182
53,28,8
53,26,10
53,25,20
53,30,0.3
53,11,47
53,12,60.9
53,31,21
54,10,50
54,1,0.5
54,2,13.1
54,3,1.4
54,4,0.1
54,29,109
54,28,1
54,26,8
54,25,13
54,30,0.3
54,11,3
54,12,47.8
54,31,12
55,10,30
55,1,0.6
55,2,7.6
55,3,0.4
55,4,0.2
55,29,112
55,28,1
55,26,11
55,25,7
55,30,0.2
55,11,28
55,12,8.1
55,31,10
56,10,160
56,1,2.0
56,2,8.5
56,3,6.7
56,4,14.7
56,29,485
56,28,7
56,26,52
56,25,12
56,30,0.6
56,11,7
56,12,10.0
56,31,29
57,10,97
57,1,2.2
57,2,23.4
57,3,10.4
57,4,0.7
57,29,348
57,28,28
57,26,68
57,25,12
57,30,1.6
57,11,64
57,12,30.0
57,31,29
58,10,68
58,1,2.6
58,2,14.3
58,3,5.4
58,4,1.0
58,29,417
58,28,2
58,26,40
58,25,18
58,30,0.3
58,11,31
58,12,228.3
58,31,22
59,10,47
59,1,0.9
59,2,11.8
59,3,2.4
59,4,0.1
59,29,181
59,28,0
59,26,14
59,25,40
59,30,0.1
59,11,11
59,12,53.2
59,31,10
60,10,29
60,1,1.1
60,2,9.3
60,3,2.8
60,4,0.3
60,29,138
60,28,2
60,26,16
60,25,26
60,30,0.6
60,11,1
60,12,53.0
60,31,8
61,10,354
61,1,3.3
61,2,15.2
61,3,9.0
61,4,33.5
61,29,356
61,28,20
61,26,113
61,25,14
61,30,2.4
61,11,0
61,12,3.3
61,31,32
62,10,230
62,1,2.3
62,2,5.5
62,3,2.2
62,4,23.8
62,29,263
62,28,15
62,26,100
62,25,16
62,30,1.6
62,11,0
62,12,2.8
62,31,37
63,10,884
63,1,0
63,2,0
63,3,0
63,4,100
63,29,0
63,28,0
63,26,0
63,25,0
63,30,0
63,11,0
63,12,0
63,31,0
64,10,884
64,1,0
64,2,0
64,3,0
64,4,100
64,29,0
64,28,0
64,26,0
64,25,0
64,30,0
64,11,0
64,12,0
64,31,0
65,10,0
65,1,0
65,2,0
65,3,0
65,4,0
65,29,0
65,28,38758
65,26,0
65,25,0
65,30,0
65,11,0
65,12,0
65,31,0
66,10,387
66,1,0
66,2,100
66,3,0
66,4,0
66,29,2
66,28,1
66,26,0
66,25,1
66,30,0.1
66,11,0
66,12,0
66,31,0
67,10,304
67,1,0.3
67,2,82.4
67,3,0.2
67,4,0
67,29,52
67,28,4
67,26,4
67,25,6
67,30,0.4
67,11,0
67,12,0.5
67,31,2
68,10,1
68,1,0
68,2,0.3
68,3,0
68,4,0
68,29,37
68,28,3
68,26,1
68,25,0
68,30,0
68,11,0
68,12,0
68,31,3
69,10,2
69,1,0.3
69,2,0
69,3,0
69,4,0
69,29,92
69,28,2
69,26,3
69,25,2
69,30,0
69,11,0
69,12,0
69,31,3
70,10,1
70,1,0.1
70,2,0.3
70,3,0
70,4,0
70,29,26
70,28,1
70,26,2
70,25,3
70,30,0.1
70,11,0
70,12,0.5
70,31,3
71,10,297
71,1,7.6
71,2,50.2
71,3,2.2
71,4,7.4
71,29,115
71,28,380
71,26,93
71,25,15
71,30,1.8
71,11,0
71,12,0
71,31,25
72,10,336
72,1,6.2
72,2,52.8
72,3,1.8
72,4,12.5
72,29,98
72,28,420
72,26,85
72,25,28
72,30,1.5
72,11,12
72,12,0
72,31,18
73,10,96
73,1,2.4
73,2,20.9
73,3,1.5
73,4,0.5
73,29,70
73,28,2
73,26,48
73,25,4
73,30,0.7
73,11,5
73,12,0
73,31,22
74,10,110
74,1,5.8
74,2,20.5
74,3,4.2
74,4,0.8
74,29,245
74,28,3
74,26,95
74,25,22
74,30,1.5
74,11,2
74,12,0.8
74,31,38
75,10,95
75,1,2.5
75,2,19.8
75,3,2.8
75,4,0.8
75,29,285
75,28,18
75,26,48
75,25,68
75,30,1.5
75,11,185
75,12,12
75,31,28
76,10,142
76,1,3.2
76,2,28.5
76,3,1.2
76,4,1.8
76,29,95
76,28,380
76,26,52
76,25,18
76,30,0.8
76,11,8
76,12,0.5
76,31,18
77,10,262
77,1,5.8
77,2,32.5
77,3,2.4
77,4,12.8
77,29,182
77,28,485
77,26,78
77,25,22
77,30,1.2
77,11,18
77,12,1.5
77,31,22
78,10,280
78,1,8.5
78,2,48.2
78,3,4.5
78,4,6.2
78,29,138
78,28,350
78,26,112
78,25,28
78,30,2.2
78,11,0
78,12,0
78,31,38
79,10,72
79,1,2.2
79,2,14.8
79,3,0.8
79,4,0.6
79,29,68
79,28,2
79,26,62
79,25,5
79,30,0.4
79,11,0
79,12,0
79,31,28
80,10,68
80,1,1.8
80,2,14.2
80,3,0.9
80,4,0.4
80,29,48
80,28,1
80,26,38
80,25,3
80,30,0.4
80,11,3
80,12,0
80,31,18
81,10,242
81,1,25.8
81,2,0
81,3,0
81,4,15.2
81,29,310
81,28,85
81,26,195
81,25,16
81,30,2.5
81,11,0
81,12,0
81,31,22
82,10,115
82,1,18.5
82,2,4.2
82,3,1.2
82,4,4.8
82,29,325
82,28,245
82,26,165
82,25,38
82,30,1.2
82,11,48
82,12,8.5
82,31,28
83,10,168
83,1,15.8
83,2,5.8
83,3,1.5
83,4,9.5
83,29,285
83,28,325
83,26,155
83,25,28
83,30,2.2
83,11,58
83,12,5.2
83,31,22
84,10,152
84,1,16.5
84,2,5.2
84,3,1.2
84,4,8.2
84,29,245
84,28,295
84,26,148
84,25,32
84,30,1.5
84,11,68
84,12,4.8
84,31,24
85,10,78
85,1,2.8
85,2,12.5
85,3,3.5
85,4,2.5
85,29,385
85,28,125
85,26,58
85,25,85
85,30,1.8
85,11,285
85,12,22
85,31,35
86,10,98
86,1,6.2
86,2,16.8
86,3,4.5
86,4,0.8
86,29,325
86,28,215
86,26,115
86,25,38
86,30,1.9
86,11,12
86,12,2.5
86,31,42
87,10,93
87,1,7.0
87,2,15.6
87,3,3.9
87,4,0.4
87,29,284
87,28,195
87,26,108
87,25,25
87,30,2.5
87,11,8
87,12,1.2
87,31,35
88,10,185
88,1,7.8
88,2,8.5
88,3,2.5
88,4,14.2
88,29,325
88,28,285
88,26,145
88,25,45
88,30,1.8
88,11,0
88,12,1.5
88,31,58
89,10,175
89,1,15.2
89,2,6.8
89,3,1.8
89,4,10.5
89,29,265
89,28,385
89,26,142
89,25,38
89,30,1.6
89,11,85
89,12,6.5
89,31,26
90,10,188
90,1,14.5
90,2,7.2
90,3,1.5
90,4,12.8
90,29,295
90,28,395
90,26,152
90,25,42
90,30,2.3
90,11,92
90,12,5.8
90,31,24
91,10,65
91,1,4.2
91,2,13.4
91,3,1.5
91,4,0.2
91,29,454
91,28,8
91,26,98
91,25,6
91,30,0.2
91,11,0
91,12,3.5
91,31,25
92,10,116
92,1,1.5
92,2,27.6
92,3,3.9
92,4,0.1
92,29,670
92,28,9
92,26,49
92,25,14
92,30,0.5
92,11,7
92,12,13.1
92,31,18
93,10,142
93,1,0.5
93,2,34.6
93,3,5.1
93,4,0.2
93,29,484
93,28,6
93,26,55
93,25,18
93,30,0.5
93,11,0
93,12,4.5
93,31,22
94,10,103
94,1,1.1
94,2,27.1
94,3,4.9
94,4,0.2
94,29,490
94,28,2
94,26,30
94,25,17
94,30,0.5
94,11,0
94,12,29.0
94,31,25
95,10,89
95,1,0.8
95,2,22.5
95,3,2.3
95,4,0.2
95,29,320
95,28,2
95,26,18
95,25,4
95,30,0.3
95,11,2
95,12,6.5
95,31,24
96,10,239
96,1,2.8
96,2,62.5
96,3,5.1
96,4,0.6
96,29,628
96,28,28
96,26,113
96,25,74
96,30,2.8
96,11,2
96,12,3.5
96,31,92
97,10,162
97,1,2.3
97,2,38.5
97,3,16.0
97,4,0.3
97,29,1240
97,28,5
97,26,96
97,25,295
97,30,2.5
97,11,5
97,12,280
97,31,160
98,10,205
98,1,27.1
98,2,38.2
98,3,19.2
98,4,2.3
98,29,1324
98,28,70
98,26,204
98,25,2003
98,30,28.2
98,11,378
98,12,17.3
98,31,368
99,10,49
99,1,3.3
99,2,9.2
99,3,3.5
99,4,0.6
99,29,280
99,28,15
99,26,67
99,25,215
99,30,1.5
99,11,287
99,12,32
99,31,58
100,10,22
100,1,1.9
100,2,4.5
100,3,2.5
100,4,0.2
100,29,135
100,28,7
100,26,32
100,25,77
100,30,0.8
100,11,23
100,12,16.3
100,31,43
101,10,33
101,1,1.0
101,2,7.8
101,3,2.8
101,4,0.3
101,29,142
101,28,2
101,26,18
101,25,9
101,30,0.3
101,11,2
101,12,1.8
101,31,13
102,10,35
102,1,3.8
102,2,6.5
102,3,3.8
102,4,0.5
102,29,412
102,28,18
102,26,75
102,25,182
102,30,3.5
102,11,485
102,12,35
102,31,52
2,10,100
2,1,5.0
2,2,20.0
2,3,2.0
2,4,1.0
2,29,150
2,28,50
2,26,80
2,25,30
2,30,1.0
2,11,10
2,12,5.0
2,31,25
