id,food_id,cooking_method_id,protein_retention,carb_retention,fat_retention,fiber_retention,vitamin_c_retention,vitamin_b_retention,vitamin_a_retention,vitamin_e_retention,potassium_retention,sodium_retention,calcium_retention,iron_retention,weight_yield,volume_yield,cooking_time_minutes,notes,data_source
38,12,1,0.96,1.0,1.0,0.94,0.18,0.83,0.0,0.88,0.80,1.0,0.90,0.94,0.88,0.83,70,Black beans boiled,USDA
39,12,8,0.97,1.0,1.0,0.96,0.32,0.88,0.0,0.93,0.88,1.0,0.95,0.97,0.92,0.87,40,Black beans pressure cooked,USDA
40,13,1,0.96,1.0,1.0,0.94,0.22,0.85,0.0,0.90,0.83,1.0,0.92,0.96,0.90,0.85,50,Cowpeas boiled,USDA
41,13,8,0.97,1.0,1.0,0.96,0.38,0.90,0.0,0.94,0.91,1.0,0.96,0.98,0.94,0.89,30,Cowpeas pressure cooked,USDA
42,14,1,0.96,1.0,1.0,0.94,0.25,0.86,0.05,0.91,0.84,1.0,0.93,0.96,0.91,0.86,45,Green gram boiled,USDA
43,14,8,0.97,1.0,1.0,0.96,0.40,0.91,0.08,0.95,0.92,1.0,0.96,0.98,0.94,0.90,25,Green gram pressure cooked,USDA
44,15,1,0.96,1.0,1.0,0.94,0.20,0.84,0.0,0.89,0.81,1.0,0.91,0.95,0.89,0.84,55,Pigeon peas boiled,USDA
45,15,8,0.97,1.0,1.0,0.96,0.35,0.89,0.0,0.93,0.89,1.0,0.95,0.97,0.93,0.88,32,Pigeon peas pressure cooked,USDA
46,30,5,0.90,1.0,0.85,1.0,0.0,0.80,0.0,0.88,0.88,1.05,0.93,0.95,0.75,0.70,15,Beef grilled (fat drips off),USDA
47,30,6,0.92,1.0,0.88,1.0,0.0,0.83,0.0,0.90,0.90,1.0,0.94,0.96,0.80,0.75,30,Beef roasted,USDA
48,30,1,0.93,1.0,0.90,1.0,0.0,0.85,0.0,0.92,0.85,1.0,0.92,0.94,0.88,0.83,45,Beef boiled,USDA
49,30,9,0.92,1.0,0.92,1.0,0.0,0.88,0.0,0.93,0.88,1.02,0.93,0.95,0.92,0.87,90,Beef stewed,USDA
50,30,4,0.91,1.0,1.2,1.0,0.0,0.82,0.0,0.88,0.86,1.08,0.91,0.93,0.82,0.75,10,Beef shallow fried,USDA
51,31,5,0.92,1.0,0.82,1.0,0.0,0.82,0.0,0.90,0.90,1.03,0.94,0.96,0.78,0.73,12,Chicken grilled,USDA
52,31,6,0.94,1.0,0.85,1.0,0.0,0.85,0.0,0.92,0.92,1.0,0.95,0.97,0.83,0.78,35,Chicken roasted,USDA
53,31,1,0.95,1.0,0.88,1.0,0.0,0.87,0.0,0.94,0.87,1.0,0.93,0.95,0.90,0.85,40,Chicken boiled,USDA
54,31,9,0.94,1.0,0.90,1.0,0.0,0.90,0.0,0.95,0.90,1.02,0.94,0.96,0.93,0.88,60,Chicken stewed,USDA
55,31,3,0.90,1.0,2.2,1.0,0.0,0.78,0.0,0.85,0.82,1.15,0.88,0.90,0.75,0.68,15,Chicken deep fried,USDA
56,32,5,0.93,1.0,0.80,1.0,0.0,0.83,0.0,0.91,0.91,1.04,0.95,0.97,0.80,0.75,10,Fish grilled,USDA
57,32,6,0.95,1.0,0.83,1.0,0.0,0.86,0.0,0.93,0.93,1.02,0.96,0.98,0.85,0.80,25,Fish roasted,USDA
58,32,1,0.96,1.0,0.85,1.0,0.0,0.88,0.0,0.95,0.88,1.0,0.94,0.96,0.92,0.87,20,Fish boiled,USDA
59,32,2,0.98,1.0,0.88,1.0,0.0,0.92,0.0,0.97,0.95,1.0,0.97,0.99,0.96,0.93,18,Fish steamed,USDA
60,32,3,0.88,1.0,2.5,1.0,0.0,0.75,0.0,0.82,0.78,1.2,0.85,0.88,0.70,0.63,12,Fish deep fried,USDA
61,33,1,0.95,1.0,1.0,1.0,0.0,0.88,0.0,0.94,0.88,1.0,0.93,0.95,0.85,0.80,12,Eggs boiled,USDA
62,33,4,0.93,1.0,1.3,1.0,0.0,0.85,0.0,0.90,0.85,1.1,0.90,0.93,0.80,0.72,8,Eggs fried,USDA
63,33,7,0.96,1.0,1.0,1.0,0.0,0.90,0.0,0.96,0.92,1.0,0.95,0.97,0.88,0.82,3,Eggs microwaved,USDA
64,34,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Milk raw (no cooking),USDA
65,34,1,0.98,1.0,1.0,1.0,0.85,0.92,0.95,0.96,0.98,1.0,0.98,0.99,1.0,1.0,5,Milk boiled (pasteurization),USDA
66,34,7,0.99,1.0,1.0,1.0,0.92,0.96,0.98,0.98,0.99,1.0,0.99,1.0,1.0,1.0,2,Milk microwaved,USDA
67,52,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Tomatoes raw,USDA
68,52,1,0.95,1.0,1.0,0.92,0.60,0.80,0.88,0.85,0.75,1.0,0.88,0.93,0.85,0.78,10,Tomatoes boiled,USDA
69,52,6,0.96,1.0,1.0,0.94,0.75,0.88,0.92,0.90,0.88,1.0,0.92,0.96,0.82,0.73,25,Tomatoes roasted,USDA
70,52,9,0.94,1.0,1.0,0.90,0.55,0.75,0.85,0.82,0.70,1.0,0.85,0.90,0.88,0.80,30,Tomatoes stewed (sauce),USDA
71,53,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Onions raw,USDA
72,53,4,0.95,1.0,1.5,0.94,0.65,0.82,0.88,0.88,0.80,1.05,0.90,0.94,0.78,0.70,8,Onions fried,USDA
73,53,5,0.96,1.0,0.95,0.95,0.70,0.85,0.90,0.90,0.85,1.0,0.92,0.96,0.75,0.68,10,Onions grilled,USDA
74,54,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Garlic raw,USDA
75,54,6,0.95,1.0,1.0,0.94,0.75,0.88,0.92,0.92,0.88,1.0,0.93,0.96,0.85,0.78,20,Garlic roasted,USDA
76,55,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Ginger raw,USDA
77,55,1,0.96,1.0,1.0,0.95,0.70,0.85,0.92,0.90,0.85,1.0,0.92,0.95,0.90,0.85,10,Ginger boiled,USDA
78,56,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Avocado raw (not typically cooked),USDA
79,57,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Banana raw,USDA
80,58,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Mango raw,USDA
81,59,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Papaya raw,USDA
82,60,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Pineapple raw,USDA
83,61,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Watermelon raw,USDA
84,45,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Carrots raw,USDA
85,45,1,0.95,1.0,1.0,0.92,0.68,0.82,0.88,0.86,0.78,1.0,0.90,0.94,0.88,0.83,15,Carrots boiled,USDA
86,45,2,0.98,1.0,1.0,0.96,0.84,0.93,0.95,0.94,0.93,1.0,0.96,0.98,0.94,0.90,12,Carrots steamed,USDA
87,45,6,0.96,1.0,1.0,0.94,0.78,0.88,0.92,0.91,0.88,1.0,0.93,0.96,0.85,0.78,30,Carrots roasted,USDA
88,46,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Eggplant raw,USDA
89,46,5,0.94,1.0,1.5,0.92,0.62,0.78,0.85,0.84,0.72,1.05,0.88,0.92,0.75,0.68,15,Eggplant grilled,USDA
90,46,4,0.93,1.0,1.8,0.90,0.58,0.75,0.82,0.82,0.68,1.10,0.85,0.90,0.70,0.62,12,Eggplant fried,USDA
91,47,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Pumpkin raw,USDA
92,47,1,0.95,1.0,1.0,0.92,0.65,0.80,0.90,0.86,0.75,1.0,0.88,0.93,0.85,0.78,20,Pumpkin boiled,USDA
93,47,6,0.96,1.0,1.0,0.94,0.78,0.88,0.93,0.91,0.88,1.0,0.92,0.96,0.82,0.73,40,Pumpkin roasted,USDA
94,48,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Zucchini raw,USDA
95,48,5,0.95,1.0,1.5,0.93,0.70,0.83,0.90,0.88,0.80,1.05,0.90,0.94,0.78,0.72,10,Zucchini grilled,USDA
96,48,4,0.94,1.0,1.8,0.91,0.65,0.80,0.87,0.86,0.75,1.10,0.88,0.92,0.73,0.66,8,Zucchini fried,USDA
97,49,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Bell Pepper raw,USDA
98,49,5,0.96,1.0,1.0,0.94,0.75,0.88,0.93,0.92,0.88,1.0,0.93,0.96,0.80,0.73,8,Bell Pepper grilled,USDA
99,49,6,0.96,1.0,1.0,0.94,0.80,0.90,0.94,0.93,0.90,1.0,0.94,0.97,0.85,0.78,25,Bell Pepper roasted,USDA
100,50,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Cucumber raw (rarely cooked),USDA
